A-Z80 Timing Table	M_	T_	Function	valid	nextM	setM1	A:reg rd	A:reg wr	inc/dec	A:latch	D:reg rd	D:reg wr	Reg gate	SW2	SW1	DB pads	FLAGT	ALU	ALU bus	op2 latch	op1 latch	nibble	operation		SZ	XY	HF	PF	NF	CF	CF2		Special	Comments
#end																																		
																																		
#if use_ixiy && pla[52] : add/sub/and/or/xor/cp (ix+d)			"4,3,5,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:86  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:002 DB:--	2	1	fMRead				PC			W																								
#010H T6  AB:002 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#011H T7  AB:002 DB:01          MREQ RD	2	3	fMRead		1																													
#012H T8  AB:002 DB:--	3	1																															WZ=IX+d	
#013H T9  AB:002 DB:--	3	2																															WZ=IX+d	
#014H T10 AB:002 DB:--	3	3																															WZ=IX+d	"Reads ""n"" at the same time"
#015H T11 AB:002 DB:--	3	4																															WZ=IX+d	
#016H T12 AB:002 DB:--	3	5			mr																												WZ=IX+d	Clears the IX/IY and ...
#end																																		
																																		
#if !use_ixiy && pla[52] : add/sub/and/or/xor/cp (hl)			"4,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									?	<	u			alu	<	res			H	PLA		*	?		?	?	*				A is stored in each ALU PLA below
#002H T2  AB:000 DB:86  M1      MREQ RD	1	2	fMFetch									F	<				<						PLA										?NF_HF_CF	"If (NF), complement HF, CF"
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				HL			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					WZ	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		1	1								d	<	R	alu	>s0		bus		L	PLA		*	*	*		?					
																																		
#017H T13 AB:000 DB:--	4	1	fMRead							R																								...continues here
#018H T14 AB:000 DB:DD          MREQ RD	4	2	fMRead								AF		>				>	>s0		bus	bus				*	*	*		*	*				Reloads AF since (IX+d) used ALU core
#019H T15 AB:000 DB:DD          MREQ RD	4	3	fMRead		1	1								d	<	R	alu	>s0		bus		L	PLA		*	*	*		?					
#end																																		
																																		
#if pla[66] && !pla[53] : inc/dec r			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									r8	<	u			alu	<	res			H	ADC		*	*		V			R			
#002H T2  AB:000 DB:05  M1      MREQ RD	1	2	fMFetch									F	<				<																?NF_HF	"If (NF), complement HF"
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1					r8		>	d			alu	>s0		0	bus	L	ADC		*	*	*		0	1	W			
#end																																		
																																		
#if pla[75] : dec																																		
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																										1	0			NEG_OP2	
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch																										1	0			NEG_OP2	
#end																																		
																																		
#if (M2 || M4) && pla[75] : dec																																		
#always																													1	0			NEG_OP2	
#end																																		
																																		
#if use_ixiy && pla[53] : inc/dec (ix+d)			"4,3,5,4,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:34  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:002 DB:--	2	1	fMRead				PC			W																								
#010H T6  AB:002 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#011H T7  AB:002 DB:01          MREQ RD	2	3	fMRead		1																													
#012H T8  AB:002 DB:--	3	1																															WZ=IX+d	
#013H T9  AB:002 DB:--	3	2																															WZ=IX+d	
#014H T10 AB:002 DB:--	3	3																															WZ=IX+d	
#015H T11 AB:002 DB:--	3	4																															WZ=IX+d	
#016H T12 AB:002 DB:--	3	5			mr																												WZ=IX+d	Clears the IX/IY and ...
#end																																		
																																		
#if !use_ixiy && pla[53] : inc/dec (hl)			"4,4,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:34  M1      MREQ RD	1	2	fMFetch									F	<				<																?NF_HF	"If (NF), complement HF"
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				HL			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead																															
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead											d	<	R	alu	>s0		0	bus	L	ADC				*		0	1	W			
#008H T8  AB:001 DB:--	2	4			mw									u	>	W	alu	<	res			H	ADC		*	*		V			R			
#009H T9  AB:001 DB:--	3	1	fMWrite							R																								
#010H T10 AB:001 DB:02          MREQ	3	2	fMWrite																															
#011H T11 AB:001 DB:02          MREQ    WR	3	3	fMWrite		1	1																												
																																		
#017H T13 AB:002 DB:--	4	1	fMRead							R																								...continues here
#018H T14 AB:002 DB:01          MREQ RD	4	2	fMRead																															
#019H T15 AB:002 DB:01          MREQ RD	4	3	fMRead											d	<	R	alu	>s0		0	bus	L	ADC				*		0	1	W			
#020H T16 AB:002 DB:--	4	4			mw									u	>	W	alu	<	res			H	ADC		*	*		V			R			
#021H T17 AB:002 DB:--	5	1	fMWrite							R																								
#022H T18 AB:002 DB:02          MREQ	5	2	fMWrite																															
#023H T19 AB:002 DB:02          MREQ    WR	5	3	fMWrite		1	1																												
#end																																		
																																		
// 16-bit Arithmetic Group																																		
																																		
"#if pla[69] : add hl,ss"			"4,4,3"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:09  M1      MREQ RD	1	2	fMFetch									F	<				<																	
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	0	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1						L		>	d				>s0			bus													
#005H T5  AB:000 DB:--	2	1									rl		>	d			alu	>s0		bus		L	ADD				*						USE_SP	
#006H T6  AB:000 DB:--	2	2										Z	<l	u			alu	<	res			H	ADC			*				*				
#007H T7  AB:000 DB:--	2	3									H		>	d				>s0			bus													
#008H T8  AB:000 DB:--	2	4			1						rh		>	d			alu	>s0		bus		L	ADC				*						USE_SP	
#009H T9  AB:000 DB:--	3	1					WZ			W		W	<h	u			alu	<	res			H	ADC			*				*				
#010H T10 AB:000 DB:--	3	2						HL		R																								
#011H T11 AB:000 DB:--	3	3			1	1																												
#end																																		
																																		
"#if op3 && pla[68] : adc hl,ss"			"4,4,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:42  M1      MREQ RD	1	2	fMFetch									F	<				<																	
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	0	*				
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	1						L		>	d				>s0			bus													
#009H T5  AB:001 DB:--	2	1									rl		>	d			alu	>s0		bus		L	ADC				*						USE_SP	
#010H T6  AB:001 DB:--	2	2										Z	<l	u			alu	<	res			H	ADC		*	*				*				
#011H T7  AB:001 DB:--	2	3									H		>	d				>s0			bus													
#012H T8  AB:001 DB:--	2	4			1						rh		>	d			alu	>s0		bus		L	ADC				*						USE_SP	
#013H T9  AB:001 DB:--	3	1					WZ			W		W	<h	u			alu	<	res			H	ADC		*	*		V		*			ZERO_16BIT	
#014H T10 AB:001 DB:--	3	2						HL		R																								
#015H T11 AB:001 DB:--	3	3			1	1																												
#end																																		
																																		
"#if !op3 && pla[68] : sbc hl,ss"			"4,4,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:42  M1      MREQ RD	1	2	fMFetch									F	<				<																?NF_HF_CF	
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	1	*				
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	1						L		>	d				>s0			bus													
#009H T5  AB:001 DB:--	2	1									rl		>	d			alu	>s0		bus		L	SBC				*						USE_SP	
#010H T6  AB:001 DB:--	2	2										Z	<l	u			alu	<	res			H	SBC		*	*				*				
#011H T7  AB:001 DB:--	2	3									H		>	d				>s0			bus													
#012H T8  AB:001 DB:--	2	4			1						rh		>	d			alu	>s0		bus		L	SBCh				*						USE_SP	
#013H T9  AB:001 DB:--	3	1					WZ			W		W	<h	u			alu	<	res			H	SBC		*	*		V		*			ZERO_16BIT	
#014H T10 AB:001 DB:--	3	2						HL		R																								
#015H T11 AB:001 DB:--	3	3			1	1																												
#end																																		
																																		
#if pla[9] : inc/dec ss			6																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:03  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1			r16			W																							USE_SP	
#005H T5  AB:000 DB:--	1	5						r16	op3	R																							USE_SP	
#006H T6  AB:000 DB:--	1	6			1	1																												
#end																																		
																																		
// General Purpose Arithmetic and CPU Control Groups																																		
																																		
#if pla[77] : daa			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<				alu	<	res			H	ADC		*	*		P		*			?NF_SUB	
#002H T2  AB:000 DB:27  M1      MREQ RD	1	2	fMFetch									F	<				<														R		?NF_HF	
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	W2	*	*	*				"Only for DAA, write HF2 flag"
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1								d			alu	>s0		bus		L	ADC		*	*	*			0	W.daa		"DAA,?NF_SUB"	
#end																																		
																																		
#if pla[81] : cpl			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<				alu	<	res			H	OR			*			1				NEG_OP2	
#002H T2  AB:000 DB:2F  M1      MREQ RD	1	2	fMFetch									F	<				<																?NF_HF	
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1											alu				0	L	OR			*	*		1				NEG_OP2	
#end																																		
																																		
#if pla[82] : neg			4																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch									A	<				alu	<	res			H	SUB		*	*		V	1	*				
#006H T2  AB:001 DB:44  M1      MREQ RD	1	2	fMFetch									F	<				<																?NF_HF_CF	
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1											alu				0	L	SUB		*	*	*		1	*				
#end																																		
																																		
#if pla[89] : ccf			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch														alu	<	res			H	OR			*			0					
#002H T2  AB:000 DB:3F  M1      MREQ RD	1	2	fMFetch									F	<				<													^			?~CF_HF	
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1											alu					L	OR			*	*		0					
#end																																		
																																		
#if pla[92] : scf			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch														alu	<	res			H	OR			*			0					
#002H T2  AB:000 DB:37  M1      MREQ RD	1	2	fMFetch									F	<				<													1				
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1											alu					L	OR			*	*		0					
#end																																		
																																		
#if pla[95] : halt			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:76  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																														HALT	
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1																												
#end																																		
																																		
#if pla[97] : di/ei			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch																															
#002H T2  AB:000 DB:F3  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																														DI_EI	
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1																											NO_INTS	"At last M/T, inhibit interrupts"
#end																																		
																																		
#if pla[96] : im n			4																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:46  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch												<	R																	IM	M1/T3 reads in mode # from opcode[4:3]
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1																												
#end																																		
																																		
// Rotate and Shift Group																																		
																																		
#if pla[25] : rlca/rla/rrca/rra			4																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<				alu	<	res			H	OR			*	*		0	*				
#002H T2  AB:000 DB:07  M1      MREQ RD	1	2	fMFetch									F	<				<														R			
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1					A		>				alu	>s1		bus	bus	L	OR			*	*		0		W.sh			
#end																																		
																																		
#if ~use_ixiy && pla[70] && !pla[55] : rlc r			4																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch									r8'	<	u			alu	<	res			H	OR		*	*	*	P	0	*				
#006H T2  AB:001 DB:00  M1      MREQ RD	1	2	fMFetch									F	<				<														R			
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1					r8'		>	d			alu	>s1		bus	bus	L	OR		*	*	*		0		W.sh			
																																		
#017H T13 AB:000 DB:--	4	1	fMRead				WZ			W						R																	OpcodeToIR	...continues here from the (ix+d) addressing mode
#018H T14 AB:000 DB:DD          MREQ RD	4	2	fMRead																															
#019H T15 AB:000 DB:DD          MREQ RD	4	3	fMRead		mw									d	<	R	alu	>s1		bus	bus	L	OR						0		W.sh			
#029H T17 AB:002 DB:--	5	1	fMWrite							R				u	>	W	alu	<	res			H	OR		*	*	*	P	0	*				
#030H T18 AB:002 DB:BB          MREQ	5	2	fMWrite																															
#031H T19 AB:002 DB:BB          MREQ    WR	5	3	fMWrite		1	1																												
#end																																		
																																		
#if ~use_ixiy && pla[70] && pla[55] : rlc (hl)			"4,4,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:00  M1      MREQ RD	1	2	fMFetch									F	<				<														R			
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:006 DB:--	2	1	fMRead				HL			W																								
#010H T6  AB:006 DB:05          MREQ RD	2	2	fMRead																															
#011H T7  AB:006 DB:05          MREQ RD	2	3	fMRead																															
#012H T8  AB:006 DB:--	2	4			mw									d	<	R	alu	>s1		bus	bus	L	OR						0		W.sh			
#013H T9  AB:006 DB:--	3	1	fMWrite							R				u	>	W	alu	<	res			H	OR		*	*	*	P	0	*				
#014H T10 AB:006 DB:0A          MREQ	3	2	fMWrite																															
#015H T11 AB:006 DB:0A          MREQ    WR	3	3	fMWrite		1	1																												
																																		
#017H T13 AB:000 DB:--	4	1	fMRead				WZ			W						R																	OpcodeToIR	...continues here from the (ix+d) addressing mode
#018H T14 AB:000 DB:DD          MREQ RD	4	2	fMRead																															
#019H T15 AB:000 DB:DD          MREQ RD	4	3	fMRead		mw									d	<	R	alu	>s1		bus	bus	L	OR						0		W.sh			
#029H T17 AB:002 DB:--	5	1	fMWrite							R				u	>	W	alu	<	res			H	OR		*	*	*	P	0	*				
#030H T18 AB:002 DB:BB          MREQ	5	2	fMWrite																															
#031H T19 AB:002 DB:BB          MREQ    WR	5	3	fMWrite		1	1																												
#end																																		
																																		
#if pla[15] && op3 : rld			"4,3,4,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch									A	<				alu	<	res			H	OR		*	*		P	0					
#006H T2  AB:001 DB:67  M1      MREQ RD	1	2	fMFetch									F	<				<																	
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:000 DB:--	2	1	fMRead				HL			W																								
#010H T6  AB:000 DB:ED          MREQ RD	2	2	fMRead					WZ	+	R																								
#011H T7  AB:000 DB:ED          MREQ RD	2	3	fMRead		1																													
#012H T8  AB:000 DB:--	3	1												d	<	R		>s0		lq		L												
#013H T9  AB:000 DB:--	3	2																																
#014H T10 AB:000 DB:--	3	3																																
#015H T11 AB:000 DB:--	3	4			mw									d	<	R		>s0			low	H												
#016H T12 AB:000 DB:--	4	1	fMWrite							R				u	>	W		<	op2															
#017H T13 AB:000 DB:EE          MREQ	4	2	fMWrite																op1	bus														
#018H T14 AB:000 DB:EE          MREQ    WR	4	3	fMWrite		1	1											alu					L	OR		*	*	*		0					
#end																																		
																																		
#if pla[15] && !op3 : rrd			"4,3,4,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch									A	<				alu	<	res			H	OR		*	*		P	0					
#006H T2  AB:001 DB:67  M1      MREQ RD	1	2	fMFetch									F	<				<																	
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>				>	>s0		bus	bus				*	*	*	*	*	*				
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:000 DB:--	2	1	fMRead				HL			W																								
#010H T6  AB:000 DB:ED          MREQ RD	2	2	fMRead					WZ	+	R																								
#011H T7  AB:000 DB:ED          MREQ RD	2	3	fMRead		1																													
#012H T8  AB:000 DB:--	3	1												d	<	R		>s0		lq	low	L												
#013H T9  AB:000 DB:--	3	2												u	>	W		<	op2															
#014H T10 AB:000 DB:--	3	3									A		>					>s0		lq		L												
#015H T11 AB:000 DB:--	3	4			mw									d	<	R		>s0			low	H												
#016H T12 AB:000 DB:--	4	1	fMWrite							R				u	>	W		<	op2															
#017H T13 AB:000 DB:EE          MREQ	4	2	fMWrite																op1	bus														
#018H T14 AB:000 DB:EE          MREQ    WR	4	3	fMWrite		1	1											alu					L	OR		*	*	*		0					
#end																																		
																																		
// Bit Manipulation Group																																		
																																		
"#if ~use_ixiy && pla[72] && !pla[55] : bit b,r"			4																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch														alu	<	res			H	AND		*		*	P	0					
#006H T2  AB:001 DB:40  M1      MREQ RD	1	2	fMFetch									F	<				<																	
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>			R	>	>bs		bus	bus				*	*	*	*	*	*				Override M1/T3 load with a bit select
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1					r8'		>	d			alu	>s0			bus	L	AND		*	*	*		0					
																																		
#017H T13 AB:000 DB:--	4	1	fMRead							R						R		>bs		bus	bus												OpcodeToIR	...continues here from the (ix+d) addressing mode
#018H T14 AB:000 DB:DD          MREQ RD	4	2	fMRead																															
#019H T15 AB:000 DB:DD          MREQ RD	4	3	fMRead																															
#020H T16 AB:000 DB:--	4	4			1	1								d	<	R	alu	>s0			bus	L	AND		*		*		0					
#end																																		
																																		
"#if ~use_ixiy && pla[72] && pla[55] : bit b,(hl)"			"4,4"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch														alu	<	res			H	AND		*		*	P	0					
#006H T2  AB:001 DB:06  M1      MREQ RD	1	2	fMFetch									F	<				<																	
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>			R	>	>bs		bus	bus				*	*	*	*	*	*				Override M1/T3 load with a bit select
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:006 DB:--	2	1	fMRead				HL			W																								
#010H T6  AB:006 DB:05          MREQ RD	2	2	fMRead																															
#011H T7  AB:006 DB:05          MREQ RD	2	3	fMRead								WZ		>				>									*								"BIT n,(HL) saves WZ in X,Y (""MEMPTR"")"
#012H T8  AB:006 DB:--	2	4			1	1								d	<	R	alu	>s0			bus	L	AND		*		*		0					
																																		
#017H T13 AB:000 DB:--	4	1	fMRead				WZ			W						R		>bs		bus	bus												OpcodeToIR	...continues here from the (ix+d) addressing mode
#018H T14 AB:000 DB:DD          MREQ RD	4	2	fMRead																															
#019H T15 AB:000 DB:DD          MREQ RD	4	3	fMRead																															
#020H T16 AB:000 DB:--	4	4			1	1								d	<	R	alu	>s0			bus	L	AND		*		*		0					
#end																																		
																																		
"#if ~use_ixiy && pla[74] && !pla[55] : set b,r"			4																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch									r8'	<	u				<	res			H	OR											
#006H T2  AB:001 DB:40  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>			R	>	>bs		bus	bus				*	*	*	*	*	*				Override M1/T3 load with a bit select
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1					r8'		>	d				>s0			bus	L	OR											
																																		
#017H T13 AB:000 DB:--	4	1	fMRead				WZ			W						R		>bs		bus	bus												OpcodeToIR	...continues here from the (ix+d) addressing mode
#018H T14 AB:000 DB:DD          MREQ RD	4	2	fMRead																															
#019H T15 AB:000 DB:DD          MREQ RD	4	3	fMRead		mw									d	<	R	alu	>s0			bus	L	OR											
#029H T17 AB:002 DB:--	5	1	fMWrite							R				u	>	W		<	res			H	OR											
#030H T18 AB:002 DB:BB          MREQ	5	2	fMWrite																															
#031H T19 AB:002 DB:BB          MREQ    WR	5	3	fMWrite		1	1																												
#end																																		
																																		
"#if ~use_ixiy && pla[74] && pla[55] : set b,(hl)"			"4,4,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:06  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>			R	>	>bs		bus	bus				*	*	*	*	*	*				Override M1/T3 load with a bit select
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:006 DB:--	2	1	fMRead				HL			W																								
#010H T6  AB:006 DB:05          MREQ RD	2	2	fMRead																															
#011H T7  AB:006 DB:05          MREQ RD	2	3	fMRead											d	<	R		>s0			bus	L	OR											
#012H T8  AB:006 DB:--	2	4			mw									u	>	W		<	res			H	OR											
#013H T9  AB:006 DB:--	3	1	fMWrite							R																								
#014H T10 AB:006 DB:0A          MREQ	3	2	fMWrite																															
#015H T11 AB:006 DB:0A          MREQ    WR	3	3	fMWrite		1	1																												
																																		
#017H T13 AB:000 DB:--	4	1	fMRead				WZ			W						R		>bs		bus	bus												OpcodeToIR	...continues here from the (ix+d) addressing mode
#018H T14 AB:000 DB:DD          MREQ RD	4	2	fMRead																															
#019H T15 AB:000 DB:DD          MREQ RD	4	3	fMRead		mw									d	<	R	alu	>s0			bus	L	OR											
#029H T17 AB:002 DB:--	5	1	fMWrite							R				u	>	W		<	res			H	OR											
#030H T18 AB:002 DB:BB          MREQ	5	2	fMWrite																															
#031H T19 AB:002 DB:BB          MREQ    WR	5	3	fMWrite		1	1																												
#end																																		
																																		
"#if ~use_ixiy && pla[73] && !pla[55] : res b,r"			4																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch									r8'	<	u				<	res			H	NAND											
#006H T2  AB:001 DB:40  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>			R	>	>bs		bus	bus				*	*	*	*	*	*				Override M1/T3 load with a bit select
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	1	1					r8'		>	d				>s0			bus	L	NAND											
																																		
#017H T13 AB:000 DB:--	4	1	fMRead				WZ			W						R		>bs		bus	bus												OpcodeToIR	...continues here from the (ix+d) addressing mode
#018H T14 AB:000 DB:DD          MREQ RD	4	2	fMRead																															
#019H T15 AB:000 DB:DD          MREQ RD	4	3	fMRead		mw									d	<	R	alu	>s0			bus	L	NAND											
#029H T17 AB:002 DB:--	5	1	fMWrite							R				u	>	W		<	res			H	NAND											
#030H T18 AB:002 DB:BB          MREQ	5	2	fMWrite																															
#031H T19 AB:002 DB:BB          MREQ    WR	5	3	fMWrite		1	1																												
#end																																		
																																		
"#if ~use_ixiy && pla[73] && pla[55] : res b,(hl)"			"4,4,3"																															
#005H T1  AB:001 DB:--  M1	1	1	fMFetch																															
#006H T2  AB:001 DB:06  M1      MREQ RD	1	2	fMFetch																															
#007H T3  AB:001 DB:--     RFSH	1	3	fMFetch								AF		>			R	>	>bs		bus	bus				*	*	*	*	*	*				Override M1/T3 load with a bit select
#008H T4  AB:001 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#009H T5  AB:006 DB:--	2	1	fMRead				HL			W																								
#010H T6  AB:006 DB:05          MREQ RD	2	2	fMRead																															
#011H T7  AB:006 DB:05          MREQ RD	2	3	fMRead											d	<	R		>s0			bus	L	NAND											
#012H T8  AB:006 DB:--	2	4			mw									u	>	W		<	res			H	NAND											
#013H T9  AB:006 DB:--	3	1	fMWrite							R																								
#014H T10 AB:006 DB:0A          MREQ	3	2	fMWrite																															
#015H T11 AB:006 DB:0A          MREQ    WR	3	3	fMWrite		1	1																												
																																		
#017H T13 AB:000 DB:--	4	1	fMRead				WZ			W						R		>bs		bus	bus												OpcodeToIR	...continues here from the (ix+d) addressing mode
#018H T14 AB:000 DB:DD          MREQ RD	4	2	fMRead																															
#019H T15 AB:000 DB:DD          MREQ RD	4	3	fMRead		mw									d	<	R	alu	>s0			bus	L	NAND											
#029H T17 AB:002 DB:--	5	1	fMWrite							R				u	>	W		<	res			H	NAND											
#030H T18 AB:002 DB:BB          MREQ	5	2	fMWrite																															
#031H T19 AB:002 DB:BB          MREQ    WR	5	3	fMWrite		1	1																												
#end																																		
																																		
// Input and Output Groups																																		
																																		
"#if pla[37] && !pla[28] : in a,(n)"			"4,3,4"																															
#001H T1  AB:000 DB:--  M1	1	1	fMFetch									A	<	d	<	R																		
#002H T2  AB:000 DB:DB  M1      MREQ RD	1	2	fMFetch																															
#003H T3  AB:000 DB:--     RFSH	1	3	fMFetch																															
#004H T4  AB:000 DB:--     RFSH MREQ	1	4	fMFetch	1	mr																													
#005H T5  AB:001 DB:--	2	1	fMRead				PC			W																								
#006H T6  AB:001 DB:01          MREQ RD	2	2	fMRead					PC	+	R																								
#007H T7  AB:001 DB:01          MREQ RD	2	3	fMRead		ior																													
