count, parallel 8 bit, parallel 14 bit, serial
       2101,'5b,'29f4,'c4
       2102,'9b,'22ce,'89
       2103,'c4,'0a3c,'12
       2104,'a1,'020c,'24
       2105,'4f,'15fc,'49
       2106,'9d,'3b99,'93
       2107,'45,'18d2,'26
       2108,'1e,'2d6f,'4d
       2109,'85,'1c49,'9b
       2110,'41,'13e8,'36
       2111,'e0,'059d,'6d
       2112,'af,'1479,'da
       2113,'32,'0418,'b5
       2114,'77,'2bf8,'6b
       2115,'69,'3732,'d6
       2116,'ec,'31a5,'ad
       2117,'ad,'1ade,'5b
       2118,'4d,'3893,'b7
       2119,'e2,'27d0,'6f
       2120,'d0,'0b3a,'de
       2121,'a7,'28f2,'bd
       2122,'ce,'0830,'7b
       2123,'22,'17f0,'f6
       2124,'8f,'2e65,'ec
       2125,'c2,'234b,'d8
       2126,'20,'35bd,'b1
       2127,'f0,'3126,'63
       2128,'57,'0fa1,'c6
       2129,'99,'1675,'8d
       2130,'bb,'11e4,'1a
       2131,'34,'1061,'34
       2132,'f6,'2fe0,'69
       2133,'d6,'1cca,'d2
       2134,'26,'0697,'a5
       2135,'71,'2b7b,'4b
       2136,'e8,'224d,'97
       2137,'53,'1f43,'2e
       2138,'67,'2cea,'5d
       2139,'91,'23c8,'bb
       2140,'47,'20c2,'77
       2141,'61,'1fc0,'ee
       2142,'10,'3995,'dc
       2143,'f8,'0d2e,'b9
       2144,'ab,'16f6,'73
       2145,'cc,'049b,'e6
       2146,'5d,'3e87,'cc
       2147,'1a,'19d4,'99
       2148,'7b,'0791,'32
       2149,'6b,'0185,'65
       2150,'93,'3f81,'ca
       2151,'38,'332a,'95
       2152,'f4,'1a5d,'2a
       2153,'a9,'2dec,'55
       2154,'b3,'0936,'ab
       2155,'c8,'3d0e,'57
       2156,'a3,'33a9,'af
       2157,'30,'0f22,'5f
       2158,'08,'030a,'bf
       2159,'fc,'3f02,'7f
       2160,'55,'2655,'fe
       2161,'e6,'34bb,'fc
       2162,'2e,'1bd8,'f8
       2163,'8d,'126d,'f0
       2164,'bd,'3a1c,'e0
       2165,'b5,'2753,'c0
       2166,'49,'1e45,'81
       2167,'1c,'0614,'02
       2168,'fa,'3e04,'04
       2169,'d4,'0cab,'08
       2170,'59,'2977,'10
       2171,'e4,'37b1,'20
       2172,'51,'24da,'41
       2173,'18,'3438,'83
       2174,'04,'0ea7,'06
       2175,'fe,'3c8b,'0c
       2176,'2a,'0c28,'18
       2177,'73,'3c08,'30
       2178,'97,'1957,'61
       2179,'c6,'12ee,'c2
       2180,'de,'2f63,'85
       2181,'da,'09b5,'0a
       2182,'24,'2871,'14
       2183,'0e,'1d4f,'28
       2184,'7d,'3916,'51
       2185,'ea,'1851,'a3
       2186,'2c,'3810,'47
       2187,'f2,'32af,'8f
       2188,'28,'25dc,'1e
       2189,'0c,'1ec6,'3c
       2190,'02,'136b,'79
       2191,'7f,'10e2,'f2
       2192,'95,'3a9f,'e4
       2193,'b9,'322c,'c8
       2194,'4b,'30a3,'91
       2195,'63,'3020,'22
       2196,'6f,'255f,'45
       2197,'6d,'0bb9,'8b
       2198,'12,'3d8d,'16
       2199,'87,'26d6,'2c
       2200,'3e,'21c4,'59
       2201,'75,'353e,'b3
       2202,'16,'2459,'67
       2203,'79,'2147,'ce
       2204,'14,'2041,'9d
       2205,'06,'0abf,'3a
       2206,'81,'1773,'75
       2207,'bf,'3b1a,'ea
       2208,'ca,'0dad,'d4
       2209,'dc,'0389,'a9
       2210,'a5,'2a7d,'53
       2211,'b1,'08b3,'a7
       2212,'b7,'028f,'4f
       2213,'36,'0083,'9f
       2214,'89,'157f,'3e
       2215,'43,'2ee6,'7d
       2216,'9f,'3634,'fa
       2217,'3a,'1b5b,'f4
       2218,'8b,'0712,'e8
       2219,'3c,'14fa,'d0
       2220,'0a,'1167,'a1
       2221,'83,'051e,'43
       2222,'c0,'0106,'87
       2223,'5f,'2afe,'0e
       2224,'65,'1dcc,'1c
       2225,'ee,'2c69,'38
       2226,'d2,'36b7,'71
       2227,'d8,'0e24,'e2
       2228,'5b,'29f4,'c4
       2229,'9b,'22ce,'89
       2230,'c4,'0a3c,'12
       2231,'a1,'020c,'24
       2232,'4f,'15fc,'49
       2233,'9d,'3b99,'93
       2234,'45,'18d2,'26
       2235,'1e,'2d6f,'4d
       2236,'85,'1c49,'9b
       2237,'41,'13e8,'36
       2238,'e0,'059d,'6d
       2239,'af,'1479,'da
       2240,'32,'0418,'b5
       2241,'77,'2bf8,'6b
       2242,'69,'3732,'d6
       2243,'ec,'31a5,'ad
       2244,'ad,'1ade,'5b
       2245,'4d,'3893,'b7
       2246,'e2,'27d0,'6f
       2247,'d0,'0b3a,'de
       2248,'a7,'28f2,'bd
       2249,'ce,'0830,'7b
       2250,'22,'17f0,'f6
       2251,'8f,'2e65,'ec
       2252,'c2,'234b,'d8
       2253,'20,'35bd,'b1
       2254,'f0,'3126,'63
       2255,'57,'0fa1,'c6
       2256,'99,'1675,'8d
       2257,'bb,'11e4,'1a
       2258,'34,'1061,'34
       2259,'f6,'2fe0,'69
       2260,'d6,'1cca,'d2
       2261,'26,'0697,'a5
       2262,'71,'2b7b,'4b
       2263,'e8,'224d,'97
       2264,'53,'1f43,'2e
       2265,'67,'2cea,'5d
       2266,'91,'23c8,'bb
       2267,'47,'20c2,'77
       2268,'61,'1fc0,'ee
       2269,'10,'3995,'dc
       2270,'f8,'0d2e,'b9
       2271,'ab,'16f6,'73
       2272,'cc,'049b,'e6
       2273,'5d,'3e87,'cc
       2274,'1a,'19d4,'99
       2275,'7b,'0791,'32
       2276,'6b,'0185,'65
       2277,'93,'3f81,'ca
       2278,'38,'332a,'95
       2279,'f4,'1a5d,'2a
       2280,'a9,'2dec,'55
       2281,'b3,'0936,'ab
       2282,'c8,'3d0e,'57
       2283,'a3,'33a9,'af
       2284,'30,'0f22,'5f
       2285,'08,'030a,'bf
       2286,'fc,'3f02,'7f
       2287,'55,'2655,'fe
       2288,'e6,'34bb,'fc
       2289,'2e,'1bd8,'f8
       2290,'8d,'126d,'f0
       2291,'bd,'3a1c,'e0
       2292,'b5,'2753,'c0
       2293,'49,'1e45,'81
       2294,'1c,'0614,'02
       2295,'fa,'3e04,'04
       2296,'d4,'0cab,'08
       2297,'59,'2977,'10
       2298,'e4,'37b1,'20
       2299,'51,'24da,'41
       2300,'18,'3438,'83
       2301,'04,'0ea7,'06
       2302,'fe,'3c8b,'0c
       2303,'2a,'0c28,'18
       2304,'73,'3c08,'30
       2305,'97,'1957,'61
       2306,'c6,'12ee,'c2
       2307,'de,'2f63,'85
       2308,'da,'09b5,'0a
       2309,'24,'2871,'14
       2310,'0e,'1d4f,'28
       2311,'7d,'3916,'51
       2312,'ea,'1851,'a3
       2313,'2c,'3810,'47
       2314,'f2,'32af,'8f
       2315,'28,'25dc,'1e
       2316,'0c,'1ec6,'3c
       2317,'02,'136b,'79
       2318,'7f,'10e2,'f2
       2319,'95,'3a9f,'e4
       2320,'b9,'322c,'c8
       2321,'4b,'30a3,'91
       2322,'63,'3020,'22
       2323,'6f,'255f,'45
       2324,'6d,'0bb9,'8b
       2325,'12,'3d8d,'16
       2326,'87,'26d6,'2c
       2327,'3e,'21c4,'59
       2328,'75,'353e,'b3
       2329,'16,'2459,'67
       2330,'79,'2147,'ce
       2331,'14,'2041,'9d
       2332,'06,'0abf,'3a
       2333,'81,'1773,'75
       2334,'bf,'3b1a,'ea
       2335,'ca,'0dad,'d4
       2336,'dc,'0389,'a9
       2337,'a5,'2a7d,'53
       2338,'b1,'08b3,'a7
       2339,'b7,'028f,'4f
       2340,'36,'0083,'9f
       2341,'89,'157f,'3e
       2342,'43,'2ee6,'7d
       2343,'9f,'3634,'fa
       2344,'3a,'1b5b,'f4
       2345,'8b,'0712,'e8
       2346,'3c,'14fa,'d0
       2347,'0a,'1167,'a1
       2348,'83,'051e,'43
       2349,'c0,'0106,'87
       2350,'5f,'2afe,'0e
       2351,'65,'1dcc,'1c
       2352,'ee,'2c69,'38
       2353,'d2,'36b7,'71
       2354,'d8,'0e24,'e2
       2355,'5b,'29f4,'c4
       2356,'9b,'22ce,'89
       2357,'c4,'0a3c,'12
       2358,'a1,'020c,'24
       2359,'4f,'15fc,'49
       2360,'9d,'3b99,'93
       2361,'45,'18d2,'26
       2362,'1e,'2d6f,'4d
       2363,'85,'1c49,'9b
       2364,'41,'13e8,'36
       2365,'e0,'059d,'6d
       2366,'af,'1479,'da
       2367,'32,'0418,'b5
       2368,'77,'2bf8,'6b
       2369,'69,'3732,'d6
       2370,'ec,'31a5,'ad
       2371,'ad,'1ade,'5b
       2372,'4d,'3893,'b7
       2373,'e2,'27d0,'6f
       2374,'d0,'0b3a,'de
       2375,'a7,'28f2,'bd
       2376,'ce,'0830,'7b
       2377,'22,'17f0,'f6
       2378,'8f,'2e65,'ec
       2379,'c2,'234b,'d8
       2380,'20,'35bd,'b1
       2381,'f0,'3126,'63
       2382,'57,'0fa1,'c6
       2383,'99,'1675,'8d
       2384,'bb,'11e4,'1a
       2385,'34,'1061,'34
       2386,'f6,'2fe0,'69
       2387,'d6,'1cca,'d2
       2388,'26,'0697,'a5
       2389,'71,'2b7b,'4b
       2390,'e8,'224d,'97
       2391,'53,'1f43,'2e
       2392,'67,'2cea,'5d
       2393,'91,'23c8,'bb
       2394,'47,'20c2,'77
       2395,'61,'1fc0,'ee
       2396,'10,'3995,'dc
       2397,'f8,'0d2e,'b9
       2398,'ab,'16f6,'73
       2399,'cc,'049b,'e6
       2400,'5d,'3e87,'cc
       2401,'1a,'19d4,'99
       2402,'7b,'0791,'32
       2403,'6b,'0185,'65
       2404,'93,'3f81,'ca
       2405,'38,'332a,'95
       2406,'f4,'1a5d,'2a
       2407,'a9,'2dec,'55
       2408,'b3,'0936,'ab
       2409,'c8,'3d0e,'57
       2410,'a3,'33a9,'af
       2411,'30,'0f22,'5f
       2412,'08,'030a,'bf
       2413,'fc,'3f02,'7f
       2414,'55,'2655,'fe
       2415,'e6,'34bb,'fc
       2416,'2e,'1bd8,'f8
       2417,'8d,'126d,'f0
       2418,'bd,'3a1c,'e0
       2419,'b5,'2753,'c0
       2420,'49,'1e45,'81
       2421,'1c,'0614,'02
       2422,'fa,'3e04,'04
       2423,'d4,'0cab,'08
       2424,'59,'2977,'10
       2425,'e4,'37b1,'20
       2426,'51,'24da,'41
       2427,'18,'3438,'83
       2428,'04,'0ea7,'06
       2429,'fe,'3c8b,'0c
       2430,'2a,'0c28,'18
       2431,'73,'3c08,'30
       2432,'97,'1957,'61
       2433,'c6,'12ee,'c2
       2434,'de,'2f63,'85
       2435,'da,'09b5,'0a
       2436,'24,'2871,'14
       2437,'0e,'1d4f,'28
       2438,'7d,'3916,'51
       2439,'ea,'1851,'a3
       2440,'2c,'3810,'47
       2441,'f2,'32af,'8f
       2442,'28,'25dc,'1e
       2443,'0c,'1ec6,'3c
       2444,'02,'136b,'79
       2445,'7f,'10e2,'f2
       2446,'95,'3a9f,'e4
       2447,'b9,'322c,'c8
       2448,'4b,'30a3,'91
       2449,'63,'3020,'22
       2450,'6f,'255f,'45
       2451,'6d,'0bb9,'8b
       2452,'12,'3d8d,'16
       2453,'87,'26d6,'2c
       2454,'3e,'21c4,'59
       2455,'75,'353e,'b3
       2456,'16,'2459,'67
       2457,'79,'2147,'ce
       2458,'14,'2041,'9d
       2459,'06,'0abf,'3a
       2460,'81,'1773,'75
       2461,'bf,'3b1a,'ea
       2462,'ca,'0dad,'d4
       2463,'dc,'0389,'a9
       2464,'a5,'2a7d,'53
       2465,'b1,'08b3,'a7
       2466,'b7,'028f,'4f
       2467,'36,'0083,'9f
       2468,'89,'157f,'3e
       2469,'43,'2ee6,'7d
       2470,'9f,'3634,'fa
       2471,'3a,'1b5b,'f4
       2472,'8b,'0712,'e8
       2473,'3c,'14fa,'d0
       2474,'0a,'1167,'a1
       2475,'83,'051e,'43
       2476,'c0,'0106,'87
       2477,'5f,'2afe,'0e
       2478,'65,'1dcc,'1c
       2479,'ee,'2c69,'38
       2480,'d2,'36b7,'71
       2481,'d8,'0e24,'e2
       2482,'5b,'29f4,'c4
       2483,'9b,'22ce,'89
       2484,'c4,'0a3c,'12
       2485,'a1,'020c,'24
       2486,'4f,'15fc,'49
       2487,'9d,'3b99,'93
       2488,'45,'18d2,'26
       2489,'1e,'2d6f,'4d
       2490,'85,'1c49,'9b
       2491,'41,'13e8,'36
       2492,'e0,'059d,'6d
       2493,'af,'1479,'da
       2494,'32,'0418,'b5
       2495,'77,'2bf8,'6b
       2496,'69,'3732,'d6
       2497,'ec,'31a5,'ad
       2498,'ad,'1ade,'5b
       2499,'4d,'3893,'b7
       2500,'e2,'27d0,'6f
       2501,'d0,'0b3a,'de
       2502,'a7,'28f2,'bd
       2503,'ce,'0830,'7b
       2504,'22,'17f0,'f6
       2505,'8f,'2e65,'ec
       2506,'c2,'234b,'d8
       2507,'20,'35bd,'b1
       2508,'f0,'3126,'63
       2509,'57,'0fa1,'c6
       2510,'99,'1675,'8d
       2511,'bb,'11e4,'1a
       2512,'34,'1061,'34
       2513,'f6,'2fe0,'69
       2514,'d6,'1cca,'d2
       2515,'26,'0697,'a5
       2516,'71,'2b7b,'4b
       2517,'e8,'224d,'97
       2518,'53,'1f43,'2e
       2519,'67,'2cea,'5d
       2520,'91,'23c8,'bb
       2521,'47,'20c2,'77
       2522,'61,'1fc0,'ee
       2523,'10,'3995,'dc
       2524,'f8,'0d2e,'b9
       2525,'ab,'16f6,'73
       2526,'cc,'049b,'e6
       2527,'5d,'3e87,'cc
       2528,'1a,'19d4,'99
       2529,'7b,'0791,'32
       2530,'6b,'0185,'65
       2531,'93,'3f81,'ca
       2532,'38,'332a,'95
       2533,'f4,'1a5d,'2a
       2534,'a9,'2dec,'55
       2535,'b3,'0936,'ab
       2536,'c8,'3d0e,'57
       2537,'a3,'33a9,'af
       2538,'30,'0f22,'5f
       2539,'08,'030a,'bf
       2540,'fc,'3f02,'7f
       2541,'55,'2655,'fe
       2542,'e6,'34bb,'fc
       2543,'2e,'1bd8,'f8
       2544,'8d,'126d,'f0
       2545,'bd,'3a1c,'e0
       2546,'b5,'2753,'c0
       2547,'49,'1e45,'81
       2548,'1c,'0614,'02
       2549,'fa,'3e04,'04
       2550,'d4,'0cab,'08
       2551,'59,'2977,'10
       2552,'e4,'37b1,'20
       2553,'51,'24da,'41
       2554,'18,'3438,'83
       2555,'04,'0ea7,'06
       2556,'fe,'3c8b,'0c
       2557,'2a,'0c28,'18
       2558,'73,'3c08,'30
       2559,'97,'1957,'61
       2560,'c6,'12ee,'c2
       2561,'de,'2f63,'85
       2562,'da,'09b5,'0a
       2563,'24,'2871,'14
       2564,'0e,'1d4f,'28
       2565,'7d,'3916,'51
       2566,'ea,'1851,'a3
       2567,'2c,'3810,'47
       2568,'f2,'32af,'8f
       2569,'28,'25dc,'1e
       2570,'0c,'1ec6,'3c
       2571,'02,'136b,'79
       2572,'7f,'10e2,'f2
       2573,'95,'3a9f,'e4
       2574,'b9,'322c,'c8
       2575,'4b,'30a3,'91
       2576,'63,'3020,'22
       2577,'6f,'255f,'45
       2578,'6d,'0bb9,'8b
       2579,'12,'3d8d,'16
       2580,'87,'26d6,'2c
       2581,'3e,'21c4,'59
       2582,'75,'353e,'b3
       2583,'16,'2459,'67
       2584,'79,'2147,'ce
       2585,'14,'2041,'9d
       2586,'06,'0abf,'3a
       2587,'81,'1773,'75
       2588,'bf,'3b1a,'ea
       2589,'ca,'0dad,'d4
       2590,'dc,'0389,'a9
       2591,'a5,'2a7d,'53
       2592,'b1,'08b3,'a7
       2593,'b7,'028f,'4f
       2594,'36,'0083,'9f
       2595,'89,'157f,'3e
       2596,'43,'2ee6,'7d
       2597,'9f,'3634,'fa
       2598,'3a,'1b5b,'f4
       2599,'8b,'0712,'e8
       2600,'3c,'14fa,'d0
       2601,'0a,'1167,'a1
       2602,'83,'051e,'43
       2603,'c0,'0106,'87
       2604,'5f,'2afe,'0e
       2605,'65,'1dcc,'1c
       2606,'ee,'2c69,'38
       2607,'d2,'36b7,'71
       2608,'d8,'0e24,'e2
       2609,'5b,'29f4,'c4
       2610,'9b,'22ce,'89
       2611,'c4,'0a3c,'12
       2612,'a1,'020c,'24
       2613,'4f,'15fc,'49
       2614,'9d,'3b99,'93
       2615,'45,'18d2,'26
       2616,'1e,'2d6f,'4d
       2617,'85,'1c49,'9b
       2618,'41,'13e8,'36
       2619,'e0,'059d,'6d
       2620,'af,'1479,'da
       2621,'32,'0418,'b5
       2622,'77,'2bf8,'6b
       2623,'69,'3732,'d6
       2624,'ec,'31a5,'ad
       2625,'ad,'1ade,'5b
       2626,'4d,'3893,'b7
       2627,'e2,'27d0,'6f
       2628,'d0,'0b3a,'de
       2629,'a7,'28f2,'bd
       2630,'ce,'0830,'7b
       2631,'22,'17f0,'f6
       2632,'8f,'2e65,'ec
       2633,'c2,'234b,'d8
       2634,'20,'35bd,'b1
       2635,'f0,'3126,'63
       2636,'57,'0fa1,'c6
       2637,'99,'1675,'8d
       2638,'bb,'11e4,'1a
       2639,'34,'1061,'34
       2640,'f6,'2fe0,'69
       2641,'d6,'1cca,'d2
       2642,'26,'0697,'a5
       2643,'71,'2b7b,'4b
       2644,'e8,'224d,'97
       2645,'53,'1f43,'2e
       2646,'67,'2cea,'5d
       2647,'91,'23c8,'bb
       2648,'47,'20c2,'77
       2649,'61,'1fc0,'ee
       2650,'10,'3995,'dc
       2651,'f8,'0d2e,'b9
       2652,'ab,'16f6,'73
       2653,'cc,'049b,'e6
       2654,'5d,'3e87,'cc
       2655,'1a,'19d4,'99
       2656,'7b,'0791,'32
       2657,'6b,'0185,'65
       2658,'93,'3f81,'ca
       2659,'38,'332a,'95
       2660,'f4,'1a5d,'2a
       2661,'a9,'2dec,'55
       2662,'b3,'0936,'ab
       2663,'c8,'3d0e,'57
       2664,'a3,'33a9,'af
       2665,'30,'0f22,'5f
       2666,'08,'030a,'bf
       2667,'fc,'3f02,'7f
       2668,'55,'2655,'fe
       2669,'e6,'34bb,'fc
       2670,'2e,'1bd8,'f8
       2671,'8d,'126d,'f0
       2672,'bd,'3a1c,'e0
       2673,'b5,'2753,'c0
       2674,'49,'1e45,'81
       2675,'1c,'0614,'02
       2676,'fa,'3e04,'04
       2677,'d4,'0cab,'08
       2678,'59,'2977,'10
       2679,'e4,'37b1,'20
       2680,'51,'24da,'41
       2681,'18,'3438,'83
       2682,'04,'0ea7,'06
       2683,'fe,'3c8b,'0c
       2684,'2a,'0c28,'18
       2685,'73,'3c08,'30
       2686,'97,'1957,'61
       2687,'c6,'12ee,'c2
       2688,'de,'2f63,'85
       2689,'da,'09b5,'0a
       2690,'24,'2871,'14
       2691,'0e,'1d4f,'28
       2692,'7d,'3916,'51
       2693,'ea,'1851,'a3
       2694,'2c,'3810,'47
       2695,'f2,'32af,'8f
       2696,'28,'25dc,'1e
       2697,'0c,'1ec6,'3c
       2698,'02,'136b,'79
       2699,'7f,'10e2,'f2
       2700,'95,'3a9f,'e4
       2701,'b9,'322c,'c8
       2702,'4b,'30a3,'91
       2703,'63,'3020,'22
       2704,'6f,'255f,'45
       2705,'6d,'0bb9,'8b
       2706,'12,'3d8d,'16
       2707,'87,'26d6,'2c
       2708,'3e,'21c4,'59
       2709,'75,'353e,'b3
       2710,'16,'2459,'67
       2711,'79,'2147,'ce
       2712,'14,'2041,'9d
       2713,'06,'0abf,'3a
       2714,'81,'1773,'75
       2715,'bf,'3b1a,'ea
       2716,'ca,'0dad,'d4
       2717,'dc,'0389,'a9
       2718,'a5,'2a7d,'53
       2719,'b1,'08b3,'a7
       2720,'b7,'028f,'4f
       2721,'36,'0083,'9f
       2722,'89,'157f,'3e
       2723,'43,'2ee6,'7d
       2724,'9f,'3634,'fa
       2725,'3a,'1b5b,'f4
       2726,'8b,'0712,'e8
       2727,'3c,'14fa,'d0
       2728,'0a,'1167,'a1
       2729,'83,'051e,'43
       2730,'c0,'0106,'87
       2731,'5f,'2afe,'0e
       2732,'65,'1dcc,'1c
       2733,'ee,'2c69,'38
       2734,'d2,'36b7,'71
       2735,'d8,'0e24,'e2
       2736,'5b,'29f4,'c4
       2737,'9b,'22ce,'89
       2738,'c4,'0a3c,'12
       2739,'a1,'020c,'24
       2740,'4f,'15fc,'49
       2741,'9d,'3b99,'93
       2742,'45,'18d2,'26
       2743,'1e,'2d6f,'4d
       2744,'85,'1c49,'9b
       2745,'41,'13e8,'36
       2746,'e0,'059d,'6d
       2747,'af,'1479,'da
       2748,'32,'0418,'b5
       2749,'77,'2bf8,'6b
       2750,'69,'3732,'d6
       2751,'ec,'31a5,'ad
       2752,'ad,'1ade,'5b
       2753,'4d,'3893,'b7
       2754,'e2,'27d0,'6f
       2755,'d0,'0b3a,'de
       2756,'a7,'28f2,'bd
       2757,'ce,'0830,'7b
       2758,'22,'17f0,'f6
       2759,'8f,'2e65,'ec
       2760,'c2,'234b,'d8
       2761,'20,'35bd,'b1
       2762,'f0,'3126,'63
       2763,'57,'0fa1,'c6
       2764,'99,'1675,'8d
       2765,'bb,'11e4,'1a
       2766,'34,'1061,'34
       2767,'f6,'2fe0,'69
       2768,'d6,'1cca,'d2
       2769,'26,'0697,'a5
       2770,'71,'2b7b,'4b
       2771,'e8,'224d,'97
       2772,'53,'1f43,'2e
       2773,'67,'2cea,'5d
       2774,'91,'23c8,'bb
       2775,'47,'20c2,'77
       2776,'61,'1fc0,'ee
       2777,'10,'3995,'dc
       2778,'f8,'0d2e,'b9
       2779,'ab,'16f6,'73
       2780,'cc,'049b,'e6
       2781,'5d,'3e87,'cc
       2782,'1a,'19d4,'99
       2783,'7b,'0791,'32
       2784,'6b,'0185,'65
       2785,'93,'3f81,'ca
       2786,'38,'332a,'95
       2787,'f4,'1a5d,'2a
       2788,'a9,'2dec,'55
       2789,'b3,'0936,'ab
       2790,'c8,'3d0e,'57
       2791,'a3,'33a9,'af
       2792,'30,'0f22,'5f
       2793,'08,'030a,'bf
       2794,'fc,'3f02,'7f
       2795,'55,'2655,'fe
       2796,'e6,'34bb,'fc
       2797,'2e,'1bd8,'f8
       2798,'8d,'126d,'f0
       2799,'bd,'3a1c,'e0
       2800,'b5,'2753,'c0
       2801,'49,'1e45,'81
       2802,'1c,'0614,'02
       2803,'fa,'3e04,'04
       2804,'d4,'0cab,'08
       2805,'59,'2977,'10
       2806,'e4,'37b1,'20
       2807,'51,'24da,'41
       2808,'18,'3438,'83
       2809,'04,'0ea7,'06
       2810,'fe,'3c8b,'0c
       2811,'2a,'0c28,'18
       2812,'73,'3c08,'30
       2813,'97,'1957,'61
       2814,'c6,'12ee,'c2
       2815,'de,'2f63,'85
       2816,'da,'09b5,'0a
       2817,'24,'2871,'14
       2818,'0e,'1d4f,'28
       2819,'7d,'3916,'51
       2820,'ea,'1851,'a3
       2821,'2c,'3810,'47
       2822,'f2,'32af,'8f
       2823,'28,'25dc,'1e
       2824,'0c,'1ec6,'3c
       2825,'02,'136b,'79
       2826,'7f,'10e2,'f2
       2827,'95,'3a9f,'e4
       2828,'b9,'322c,'c8
       2829,'4b,'30a3,'91
       2830,'63,'3020,'22
       2831,'6f,'255f,'45
       2832,'6d,'0bb9,'8b
       2833,'12,'3d8d,'16
       2834,'87,'26d6,'2c
       2835,'3e,'21c4,'59
       2836,'75,'353e,'b3
       2837,'16,'2459,'67
       2838,'79,'2147,'ce
       2839,'14,'2041,'9d
       2840,'06,'0abf,'3a
       2841,'81,'1773,'75
       2842,'bf,'3b1a,'ea
       2843,'ca,'0dad,'d4
       2844,'dc,'0389,'a9
       2845,'a5,'2a7d,'53
       2846,'b1,'08b3,'a7
       2847,'b7,'028f,'4f
       2848,'36,'0083,'9f
       2849,'89,'157f,'3e
       2850,'43,'2ee6,'7d
       2851,'9f,'3634,'fa
       2852,'3a,'1b5b,'f4
       2853,'8b,'0712,'e8
       2854,'3c,'14fa,'d0
       2855,'0a,'1167,'a1
       2856,'83,'051e,'43
       2857,'c0,'0106,'87
       2858,'5f,'2afe,'0e
       2859,'65,'1dcc,'1c
       2860,'ee,'2c69,'38
       2861,'d2,'36b7,'71
       2862,'d8,'0e24,'e2
       2863,'5b,'29f4,'c4
       2864,'9b,'22ce,'89
       2865,'c4,'0a3c,'12
       2866,'a1,'020c,'24
       2867,'4f,'15fc,'49
       2868,'9d,'3b99,'93
       2869,'45,'18d2,'26
       2870,'1e,'2d6f,'4d
       2871,'85,'1c49,'9b
       2872,'41,'13e8,'36
       2873,'e0,'059d,'6d
       2874,'af,'1479,'da
       2875,'32,'0418,'b5
       2876,'77,'2bf8,'6b
       2877,'69,'3732,'d6
       2878,'ec,'31a5,'ad
       2879,'ad,'1ade,'5b
       2880,'4d,'3893,'b7
       2881,'e2,'27d0,'6f
       2882,'d0,'0b3a,'de
       2883,'a7,'28f2,'bd
       2884,'ce,'0830,'7b
       2885,'22,'17f0,'f6
       2886,'8f,'2e65,'ec
       2887,'c2,'234b,'d8
       2888,'20,'35bd,'b1
       2889,'f0,'3126,'63
       2890,'57,'0fa1,'c6
       2891,'99,'1675,'8d
       2892,'bb,'11e4,'1a
       2893,'34,'1061,'34
       2894,'f6,'2fe0,'69
       2895,'d6,'1cca,'d2
       2896,'26,'0697,'a5
       2897,'71,'2b7b,'4b
       2898,'e8,'224d,'97
       2899,'53,'1f43,'2e
       2900,'67,'2cea,'5d
       2901,'91,'23c8,'bb
       2902,'47,'20c2,'77
       2903,'61,'1fc0,'ee
       2904,'10,'3995,'dc
       2905,'f8,'0d2e,'b9
       2906,'ab,'16f6,'73
       2907,'cc,'049b,'e6
       2908,'5d,'3e87,'cc
       2909,'1a,'19d4,'99
       2910,'7b,'0791,'32
       2911,'6b,'0185,'65
       2912,'93,'3f81,'ca
       2913,'38,'332a,'95
       2914,'f4,'1a5d,'2a
       2915,'a9,'2dec,'55
       2916,'b3,'0936,'ab
       2917,'c8,'3d0e,'57
       2918,'a3,'33a9,'af
       2919,'30,'0f22,'5f
       2920,'08,'030a,'bf
       2921,'fc,'3f02,'7f
       2922,'55,'2655,'fe
       2923,'e6,'34bb,'fc
       2924,'2e,'1bd8,'f8
       2925,'8d,'126d,'f0
       2926,'bd,'3a1c,'e0
       2927,'b5,'2753,'c0
       2928,'49,'1e45,'81
       2929,'1c,'0614,'02
       2930,'fa,'3e04,'04
       2931,'d4,'0cab,'08
       2932,'59,'2977,'10
       2933,'e4,'37b1,'20
       2934,'51,'24da,'41
       2935,'18,'3438,'83
       2936,'04,'0ea7,'06
       2937,'fe,'3c8b,'0c
       2938,'2a,'0c28,'18
       2939,'73,'3c08,'30
       2940,'97,'1957,'61
       2941,'c6,'12ee,'c2
       2942,'de,'2f63,'85
       2943,'da,'09b5,'0a
       2944,'24,'2871,'14
       2945,'0e,'1d4f,'28
       2946,'7d,'3916,'51
       2947,'ea,'1851,'a3
       2948,'2c,'3810,'47
       2949,'f2,'32af,'8f
       2950,'28,'25dc,'1e
       2951,'0c,'1ec6,'3c
       2952,'02,'136b,'79
       2953,'7f,'10e2,'f2
       2954,'95,'3a9f,'e4
       2955,'b9,'322c,'c8
       2956,'4b,'30a3,'91
       2957,'63,'3020,'22
       2958,'6f,'255f,'45
       2959,'6d,'0bb9,'8b
       2960,'12,'3d8d,'16
       2961,'87,'26d6,'2c
       2962,'3e,'21c4,'59
       2963,'75,'353e,'b3
       2964,'16,'2459,'67
       2965,'79,'2147,'ce
       2966,'14,'2041,'9d
       2967,'06,'0abf,'3a
       2968,'81,'1773,'75
       2969,'bf,'3b1a,'ea
       2970,'ca,'0dad,'d4
       2971,'dc,'0389,'a9
       2972,'a5,'2a7d,'53
       2973,'b1,'08b3,'a7
       2974,'b7,'028f,'4f
       2975,'36,'0083,'9f
